brand,url,canonical_url,ats,identifier,verified_name,jobs,sg_jobs,country,language,source,confidence_score,confidence_level,validation_status,reasons,is_primary,needs_review,ats_confidence,ats_verification_status,ats_evidence,ats_alternatives
Air Canada,https://boards.greenhouse.io/air,https://boards.greenhouse.io/air,greenhouse,air,Air,35,0,,,ats_probe,0.925,high,validated,"identity_strong,source_ats_probe,active_jobs",1,0,1.0,verified,original_url:https://boards.greenhouse.io/air;api_verified:greenhouse,
Air Canada,https://careers.smartrecruiters.com/Air,https://careers.smartrecruiters.com/Air,smartrecruiters,Air,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Air;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/Air-canada,https://careers.smartrecruiters.com/Air-canada,smartrecruiters,Air-canada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Air-canada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/AirCanada,https://careers.smartrecruiters.com/AirCanada,smartrecruiters,AirCanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/AirCanada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/Aircanada,https://careers.smartrecruiters.com/Aircanada,smartrecruiters,Aircanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Aircanada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/air,https://careers.smartrecruiters.com/air,smartrecruiters,air,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/air;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/air-canada,https://careers.smartrecruiters.com/air-canada,smartrecruiters,air-canada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/air-canada;api_verified:smartrecruiters,
Air Canada,https://careers.smartrecruiters.com/aircanada,https://careers.smartrecruiters.com/aircanada,smartrecruiters,aircanada,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/aircanada;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/Eu,https://careers.smartrecruiters.com/Eu,smartrecruiters,Eu,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Eu;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/Eu-yan-sang,https://careers.smartrecruiters.com/Eu-yan-sang,smartrecruiters,Eu-yan-sang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Eu-yan-sang;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/EuYanSang,https://careers.smartrecruiters.com/EuYanSang,smartrecruiters,EuYanSang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/EuYanSang;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/Euyansang,https://careers.smartrecruiters.com/Euyansang,smartrecruiters,Euyansang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Euyansang;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/eu,https://careers.smartrecruiters.com/eu,smartrecruiters,eu,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/eu;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/eu-yan-sang,https://careers.smartrecruiters.com/eu-yan-sang,smartrecruiters,eu-yan-sang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/eu-yan-sang;api_verified:smartrecruiters,
Eu Yan Sang,https://careers.smartrecruiters.com/euyansang,https://careers.smartrecruiters.com/euyansang,smartrecruiters,euyansang,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/euyansang;api_verified:smartrecruiters,
Google,https://careers.smartrecruiters.com/Google,https://careers.smartrecruiters.com/Google,smartrecruiters,Google,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Google;api_verified:smartrecruiters,
Google,https://careers.smartrecruiters.com/google,https://careers.smartrecruiters.com/google,smartrecruiters,google,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/google;api_verified:smartrecruiters,
GSC,https://careers.smartrecruiters.com/GSC,https://careers.smartrecruiters.com/GSC,smartrecruiters,GSC,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/GSC;api_verified:smartrecruiters,
GSC,https://careers.smartrecruiters.com/Gsc,https://careers.smartrecruiters.com/Gsc,smartrecruiters,Gsc,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Gsc;api_verified:smartrecruiters,
GSC,https://careers.smartrecruiters.com/gsc,https://careers.smartrecruiters.com/gsc,smartrecruiters,gsc,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/gsc;api_verified:smartrecruiters,
IBM,https://careers.smartrecruiters.com/IBM,https://careers.smartrecruiters.com/IBM,smartrecruiters,IBM,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/IBM;api_verified:smartrecruiters,
IBM,https://careers.smartrecruiters.com/Ibm,https://careers.smartrecruiters.com/Ibm,smartrecruiters,Ibm,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Ibm;api_verified:smartrecruiters,
IBM,https://careers.smartrecruiters.com/ibm,https://careers.smartrecruiters.com/ibm,smartrecruiters,ibm,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/ibm;api_verified:smartrecruiters,
McDonald's,https://careers.smartrecruiters.com/Mcdonalds,https://careers.smartrecruiters.com/Mcdonalds,smartrecruiters,Mcdonalds,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Mcdonalds;api_verified:smartrecruiters,
McDonald's,https://careers.smartrecruiters.com/mcdonalds,https://careers.smartrecruiters.com/mcdonalds,smartrecruiters,mcdonalds,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/mcdonalds;api_verified:smartrecruiters,
MISC,https://careers.smartrecruiters.com/MISC,https://careers.smartrecruiters.com/MISC,smartrecruiters,MISC,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/MISC;api_verified:smartrecruiters,
MISC,https://careers.smartrecruiters.com/Misc,https://careers.smartrecruiters.com/Misc,smartrecruiters,Misc,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Misc;api_verified:smartrecruiters,
MISC,https://careers.smartrecruiters.com/misc,https://careers.smartrecruiters.com/misc,smartrecruiters,misc,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/misc;api_verified:smartrecruiters,
Tencent,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers,workday,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers,tencent,350,-1,,,ats_probe,0.925,high,validated,"identity_strong,source_ats_probe,active_jobs",1,0,1.0,verified,original_url:https://tencent.wd1.myworkdayjobs.com/Tencent_Careers;api_verified:workday,
Tencent,https://careers.smartrecruiters.com/Tencent,https://careers.smartrecruiters.com/Tencent,smartrecruiters,Tencent,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Tencent;api_verified:smartrecruiters,
Tencent,https://careers.smartrecruiters.com/tencent,https://careers.smartrecruiters.com/tencent,smartrecruiters,tencent,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/tencent;api_verified:smartrecruiters,
Weibo,https://careers.smartrecruiters.com/Weibo,https://careers.smartrecruiters.com/Weibo,smartrecruiters,Weibo,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",1,1,1.0,verified,original_url:https://careers.smartrecruiters.com/Weibo;api_verified:smartrecruiters,
Weibo,https://careers.smartrecruiters.com/weibo,https://careers.smartrecruiters.com/weibo,smartrecruiters,weibo,,0,0,,,ats_probe,0.69,medium,needs_review,"identity_unverified,source_ats_probe,valid_empty",0,1,1.0,verified,original_url:https://careers.smartrecruiters.com/weibo;api_verified:smartrecruiters,
Xiaomi,https://careers.smartrecruiters.com/Xiaomi,https://careers.smartrecruiters.com/Xiaomi,smartrecruiters,Xiaomi,Xiaomi,1,0,,,ats_probe,0.925,high,validated,"identity_strong,source_ats_probe,active_jobs",1,0,1.0,verified,original_url:https://careers.smartrecruiters.com/Xiaomi;api_verified:smartrecruiters,
Xiaomi,https://careers.smartrecruiters.com/xiaomi,https://careers.smartrecruiters.com/xiaomi,smartrecruiters,xiaomi,Xiaomi,1,0,,,ats_probe,0.925,high,validated,"identity_strong,source_ats_probe,active_jobs",0,0,1.0,verified,original_url:https://careers.smartrecruiters.com/xiaomi;api_verified:smartrecruiters,
